Date,Time In,Symbol,Qty,Entry Price,Exit Price
4/11/2024,09:30,BN-BIGBAR,30,₹543.75,₹487.15
4/11/2024,09:21,BN-BIGBAR,210,₹622.38,₹609.90
1/11/2024,18:13,BN-BIGBAR,60,₹494.15,₹472.75
1/11/2024,18:13,BN-BIGBAR,120,₹491.93,₹470.19
31/10/2024,09:45,BN-BIGBAR,120,₹612.23,₹642.80
31/10/2024,09:41,BN-BIGBAR,240,₹503.50,₹515.48
31/10/2024,09:40,BN-BIGBAR,45,₹448.20,₹433.10
30/10/2024,09:48,BN-BIGBAR,60,₹153.30,₹134.00
30/10/2024,09:48,BN-BIGBAR,360,₹257.20,₹265.50
29/10/2024,09:49,BN-BIGBAR,360,₹276.11,₹310.85
29/10/2024,09:33,BN-BIGBAR,165,₹215.88,₹190.98
29/10/2024,09:22,BN-BIGBAR,285,₹255.30,₹245.80
28/10/2024,09:56,BN-BIGBAR,90,₹358.88,₹377.13
28/10/2024,09:48,BN-BIGBAR,120,₹396.20,₹383.90
28/10/2024,09:47,BN-BIGBAR,180,₹271.40,₹286.00
25/10/2024,09:38,BN-BIGBAR,60,₹408.00,₹438.75
25/10/2024,09:23,BN-BIGBAR,180,₹363.95,₹382.08
24/10/2024,10:12,BN-BIGBAR,45,₹497.17,₹555.30
24/10/2024,09:37,BN-BIGBAR,90,₹423.73,₹453.70
24/10/2024,09:27,BN-BIGBAR,30,₹501.15,₹464.38
23/10/2024,09:39,BN-BIGBAR,135,₹164.00,₹198.76
23/10/2024,09:32,BN-BIGBAR,45,₹156.35,₹131.42
23/10/2024,09:26,BN-BIGBAR,45,₹151.65,₹110.40
22/10/2024,10:13,BN-BIGBAR,30,₹198.75,₹161.50
22/10/2024,09:47,BN-BIGBAR,45,₹218.92,₹249.93
22/10/2024,09:33,BN-BIGBAR,60,₹214.47,₹254.10
21/10/2024,12:00,BN-BIGBAR,30,₹276.05,₹239.00
21/10/2024,11:47,BN-BIGBAR,30,₹250.85,₹223.00
21/10/2024,11:22,BN-BIGBAR,15,₹261.10,₹203.20
21/10/2024,10:52,BN-BIGBAR,30,₹254.60,₹260.35
21/10/2024,10:51,BN-BIGBAR,60,₹345.00,₹359.88
18/10/2024,10:47,BN-BIGBAR,30,₹278.80,₹255.20
18/10/2024,10:15,BN-BIGBAR,90,₹298.00,₹366.18
18/10/2024,09:40,BN-BIGBAR,120,₹428.07,₹449.09
18/10/2024,09:39,BN-BIGBAR,30,₹329.25,₹308.90
17/10/2024,14:44,GRANULES,47,₹608.80,₹592.80
17/10/2024,12:50,BN-BIGBAR,30,₹293.98,₹307.85
17/10/2024,09:41,BN-BIGBAR,30,₹452.85,₹559.60
16/10/2024,14:53,PHOENIXLTD,30,"₹1,668.92","₹1,652.20"
16/10/2024,14:33,BIKAJI-INTRA,100,₹905.00,₹910.65
16/10/2024,12:28,SBICARD,65,₹740.75,₹736.38
16/10/2024,12:07,PERSISTENT,10,"₹5,565.00","₹5,482.60"
16/10/2024,10:45,RECLTD,250,₹551.61,₹547.17
16/10/2024,10:05,LALPATHLABS,24,"₹3,358.40","₹3,317.70"
16/10/2024,10:04,BN-BIGBAR,15,₹92.10,₹70.10
16/10/2024,10:02,BN-BIGBAR,15,₹125.30,₹87.40
16/10/2024,10:01,BN-BIGBAR,15,₹131.60,₹105.55
15/10/2024,15:15,MAXESTATES,40,₹617.30,₹602.10
15/10/2024,12:24,UPL,50,₹572.30,₹572.30
15/10/2024,11:00,TATACHEM,71,"₹1,116.32","₹1,109.01"
15/10/2024,09:53,BN,30,₹186.40,₹205.00
14/10/2024,17:05,JKCEMENT,30,"₹4,200.00","₹4,280.74"
14/10/2024,12:11,BN 51800 PE,15,₹343.40,₹311.10
14/10/2024,11:22,TATACHEM,66,"₹1,117.60","₹1,102.00"
14/10/2024,11:10,BN 51900 PE,60,₹357.90,₹335.60
14/10/2024,10:09,GSPL,50,₹411.85,₹398.80
14/10/2024,09:45,MFSL,100,"₹1,177.00","₹1,190.81"
11/10/2024,12:59,BN 51400 PE,60,₹285.40,₹277.10
11/10/2024,11:45,LTIM,25,"₹6,455.80","₹6,415.05"
11/10/2024,10:00,BN 51300 CE,15,₹422.80,₹417.25
11/10/2024,09:57,BN 51100 PE,15,₹312.20,₹282.00
10/10/2024,12:33,M&M,40,"₹3,200.12","₹3,195.07"
10/10/2024,12:04,BANKNIFTY 51300 CE,30,₹453.80,₹494.15
10/10/2024,11:09,L&T,60,"₹3,528.32","₹3,512.00"
10/10/2024,10:45,DIVISLAB,63,"₹5,973.84","₹5,989.48"
9/10/2024,13:02,COALINDIA,250,₹491.05,₹491.05
9/10/2024,12:20,BRITANNIA,40,"₹6,128.40","₹6,128.40"
9/10/2024,11:06,M&M,40,"₹3,157.36","₹3,177.62"
8/10/2024,13:13,L&T,60,"₹3,499.22","₹3,515.80"
8/10/2024,13:12,SBI CARD,250,₹731.64,₹730.50
8/10/2024,12:37,EICHERMOTORS,45,"₹4,610.00","₹4,663.00"
7/10/2024,09:35,SBILIFE,120,"₹1,797.77","₹1,790.00"
7/10/2024,08:21,BHARTIARTL,200,"₹1,664.46","₹1,660.00"
4/10/2024,13:52,WHIRLPOOL,130,"₹2,369.85","₹2,346.48"
4/10/2024,12:52,SUNPHARMA,130,"₹1,913.40","₹1,922.00"
4/10/2024,12:50,KOTAKBANK,100,"₹1,821.78","₹1,828.00"
4/10/2024,10:48,CANARABANK,1000,₹108.75,₹109.45
4/10/2024,10:40,BHARTIARTL,100,"₹1,663.97","₹1,675.50"
27/9/2024,11:02,BANKNIFTY 54300 PE,30,₹236.60,₹266.00
27/9/2024,10:00,BANKNIFY 54000 CE,60,₹276.50,₹295.45
26/9/2024,09:53,BANK NIFTY 54200 PE,30,₹276.80,₹290.00
25/9/2024,11:58,BANKNIFTY 54100 CE,60,₹373.19,₹387.25
25/9/2024,10:44,BANKNIFTY 54000 PE,120,₹103.11,₹113.24
